,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域
55,力旺莫里诺斯,189万,3室2厅2卫,144平米,13125元/平米,东,低层,暂无,净月
56,保利香槟,145万,2室1厅1卫,90平米,16111元/平米,南北,高层,精装修,净月
57,盛华小区,45万,2室1厅1卫,50平米,9000元/平米,南北,中层,精装修,南关
58,浦东新城,130万,3室2厅2卫,134.63平米,9656元/平米,南北,低层,精装修,经开
59,宇都和源,51万,1室1厅1卫,57.7平米,8839元/平米,南,高层,精装修,高新
0,新星宇和润,63万,1室1厅1卫,51.61平米,12207元/平米,南,高层,精装修,南关
1,安华美域,91万,2室2厅1卫,111.7平米,8147元/平米,南北,中层,精装修,经开
2,永昌路17号,75万,2室1厅1卫,64.29平米,11666元/平米,南,中层,简装修,朝阳
3,万通花园,72万,2室1厅1卫,72.55平米,9924元/平米,南北,中层,精装修,二道
4,尊誉东方,86万,2室2厅1卫,91.4平米,9409元/平米,南北,中层,精装修,经开
5,德意经典,78.5万,2室2厅1卫,90平米,8722元/平米,南北,高层,精装修,汽开
6,钻石礼都,92万,2室2厅1卫,100.6平米,9145元/平米,南北,中层,精装修,宽城
7,首地首城,185万,3室2厅2卫,143平米,12937元/平米,南北,高层,精装修,经开
8,金祥奥邻郡,70万,2室1厅1卫,80.07平米,8742元/平米,南北,中层,精装修,汽开
9,一汽客车花园,80万,3室2厅2卫,140平米,5714元/平米,南北,中层,精装修,经开
10,丰和西郡,176万,3室2厅2卫,126.1平米,13957元/平米,南北,低层,精装修,绿园
11,长客厂南A区,43.8万,2室1厅1卫,55平米,7964元/平米,南北,中层,精装修,绿园
12,华方状元府,40万,1室1厅1卫,59平米,6780元/平米,南北,中层,精装修,宽城
13,国信中央新城,155万,3室2厅2卫,127平米,12205元/平米,南北,低层,豪华装修,南关
14,一汽49街区,52.5万,2室1厅1卫,60平米,8750元/平米,南,中层,精装修,汽开
15,怡景名苑,84万,2室1厅1卫,70.53平米,11910元/平米,南北,中层,精装修,经开
16,像素公园,100万,3室2厅2卫,114平米,8772元/平米,南北,高层,精装修,经开
17,伟业星城,115万,3室2厅2卫,97平米,11856元/平米,南北,高层,豪华装修,朝阳
18,金越逸墅蓝湾,107万,2室2厅1卫,95平米,11263元/平米,南北,中层,毛坯,高新
19,米澜国际,70万,2室2厅1卫,88.43平米,7916元/平米,南北,中层,精装修,宽城
20,天茂湖,600万,5室3厅4卫,260平米,23077元/平米,南,中层,毛坯,高新
21,君地天城,92万,3室2厅2卫,127平米,7244元/平米,南北,中层,毛坯,汽开
22,棠棣,142万,2室2厅1卫,92.43平米,15363元/平米,东,中层,暂无,净月
23,中海寰宇天下,80万,2室2厅1卫,88.68平米,9021元/平米,南北,低层,中装修,经开
24,工程学院家属楼,280万,3室1厅1卫,80平米,35000元/平米,南北,低层,简装修,朝阳
25,金色橄榄城,165万,4室1厅1卫,150平米,11000元/平米,南北,中层,毛坯,二道
26,吉盛花园小区,67.5万,2室2厅1卫,100平米,6750元/平米,南,高层,豪华装修,二道
27,美景天城,83.8万,2室2厅1卫,94平米,8915元/平米,南北,中层,精装修,宽城
28,中信城,430万,4室3厅3卫,355平米,12113元/平米,南北,低层,毛坯,净月
29,和平花园,50万,2室2厅1卫,80平米,6250元/平米,东西,高层,精装修,绿园
30,龙润福湾国际,24万,1室2厅1卫,48.99平米,4899元/平米,东,低层,暂无,宽城
31,经济技术开发区八区,49万,3室1厅1卫,73平米,6712元/平米,南北,高层,简装修,经开
32,力旺格林春天,85万,2室1厅1卫,91平米,9341元/平米,南北,高层,精装修,汽开
33,金色橄榄城二期,110万,2室1厅1卫,93平米,11828元/平米,南北,高层,精装修,二道
34,中海紫金苑,409.5万,4室2厅4卫,267.54平米,15306元/平米,南北,高层,毛坯,南关
35,华方状元府,58万,2室1厅1卫,90平米,6444元/平米,南北,中层,豪华装修,宽城
36,万通花园B区,43万,2室1厅1卫,55.3平米,7776元/平米,南,高层,精装修,二道
37,恒大名都,88万,2室2厅1卫,98.13平米,8968元/平米,东,低层,暂无,高新
38,锦江花园二区,65万,2室2厅1卫,80平米,8125元/平米,南北,高层,精装修,绿园
39,吉盛小区,51万,1室1厅1卫,54平米,9444元/平米,南,中层,精装修,二道
40,德辉首府,57万,2室1厅1卫,65平米,8769元/平米,南北,低层,毛坯,二道
41,天富家园,120万,2室2厅1卫,98.86平米,12138元/平米,南北,低层,精装修,二道
42,万豪城,99万,2室2厅1卫,106.94平米,9258元/平米,南北,高层,精装修,经开
43,锦绣东南,118.8万,4室3厅2卫,140.7平米,8443元/平米,南北,中层,豪华装修,净月
44,德意经典,78.8万,2室2厅1卫,90平米,8756元/平米,南北,高层,中装修,汽开
45,亚泰梧桐公馆,65.5万,2室2厅1卫,87.86平米,7455元/平米,南北,中层,精装修,二道
46,华源公园1号,52万,2室1厅1卫,72.08平米,7214元/平米,南北,高层,毛坯,宽城
47,嘉惠红山郡,90万,2室1厅1卫,75.5平米,11921元/平米,南北,高层,豪华装修,经开
48,华瀚四季花园,119.8万,2室2厅2卫,108平米,11093元/平米,南北,低层,精装修,绿园
49,丰和日丽,135万,3室2厅2卫,135平米,10000元/平米,南北,高层,精装修,绿园
50,力旺弗朗明歌珺临,245万,4室2厅2卫,160平米,15312元/平米,东,高层,暂无,净月
51,中信城浅山,92万,3室2厅1卫,106平米,8679元/平米,南北,中层,精装修,净月
52,亚泰樱花苑,83万,2室2厅1卫,88.59平米,9369元/平米,南北,中层,精装修,二道
53,英伦小镇,76万,2室1厅1卫,95平米,8000元/平米,南北,中层,简装修,宽城
54,亚泰花园桃花苑,54万,2室1厅1卫,68平米,7941元/平米,南,低层,中装修,二道
55,御翠湾,330万,4室3厅3卫,275平米,12000元/平米,南北,低层,毛坯,高新
56,吉大菲尔瑞特,56万,1室1厅1卫,55平米,10182元/平米,南,高层,精装修,高新
57,亚泰桂花苑,100万,2室2厅1卫,101平米,9901元/平米,南北,低层,精装修,二道
58,新星宇左岸,90万,2室1厅1卫,89平米,10112元/平米,南北,高层,豪华装修,高新
59,红旗街万达广场,50万,暂无,58平米,8621元/平米,东,中层,精装修,朝阳
0,电力小区,49.5万,2室1厅1卫,56.32平米,8789元/平米,南北,中层,简装修,南关
1,金安华城,93万,2室2厅1卫,115平米,8087元/平米,南北,高层,精装修,绿园
2,华大城,62万,2室2厅1卫,85平米,7294元/平米,南北,中层,精装修,宽城
3,中国铁建西派府,120万,3室2厅2卫,120平米,10000元/平米,南北,高层,精装修,经开
4,保利蔷薇,88万,2室2厅1卫,89平米,9888元/平米,南北,高层,精装修,净月
5,伟峰东樾,385万,3室2厅2卫,178.35平米,21587元/平米,南北,中层,毛坯,净月
6,杨家小区,48.8万,2室2厅1卫,90平米,5422元/平米,南北,高层,豪华装修,绿园
7,益田枫露,102万,2室2厅1卫,88平米,11591元/平米,南北,高层,毛坯,高新
8,晟鑫康诗丹郡,112万,3室2厅2卫,144平米,7778元/平米,南北,低层,毛坯,净月
9,佳泰帝景城,73万,1室1厅1卫,78平米,9359元/平米,南,高层,精装修,经开
10,中海蘭庭,112万,2室2厅1卫,86.23平米,12989元/平米,南北,低层,精装修,高新
11,华大城,58万,2室1厅1卫,72.63平米,7986元/平米,南北,中层,精装修,宽城
12,恒盛豪庭,155万,3室2厅2卫,164.5平米,9422元/平米,南北,低层,精装修,高新
13,华大城,51万,2室2厅1卫,86平米,5930元/平米,南北,中层,精装修,宽城
14,中铁国际花园,105万,2室1厅1卫,99平米,10606元/平米,南北,低层,精装修,汽开
15,万龙第8城,66.5万,2室1厅1卫,66平米,10076元/平米,南北,低层,豪华装修,宽城
16,怡众名城,96万,2室1厅1卫,77.94平米,12317元/平米,东西,高层,精装修,高新
17,长客厂西区,77万,2室1厅1卫,90平米,8556元/平米,南北,中层,精装修,绿园
18,嘉柏湾,68万,2室2厅1卫,77平米,8831元/平米,南北,高层,精装修,经开
19,天嘉水晶城,108.99万,2室2厅1卫,89.97平米,12114元/平米,南北,中层,精装修,绿园
20,二三小区,95万,3室2厅1卫,121平米,7851元/平米,南北,中层,精装修,南关
21,恒大绿洲,320万,6室2厅4卫,317.61平米,10075元/平米,南北,中层,精装修,高新
22,中岳小区,68万,3室3厅2卫,153平米,4444元/平米,南北,高层,精装修,宽城
23,奥体玉园,73万,2室2厅1卫,89平米,8202元/平米,南北,高层,精装修,高新
24,万科上东区,120万,2室2厅1卫,97平米,12371元/平米,南北,高层,精装修,二道
25,吴中印象,135万,3室2厅1卫,115平米,11739元/平米,南北,低层,豪华装修,宽城
26,伟峰东第,145万,2室1厅1卫,96.3平米,15057元/平米,南北,中层,简装修,净月
27,平泉小区,47万,2室1厅1卫,68平米,6912元/平米,南,中层,精装修,南关
28,伟峰东樾别墅,1200万,5室2厅5卫,600平米,20000元/平米,南,低层,豪华装修,净月
29,领秀蓝珀湖,95万,2室2厅1卫,88.45平米,10741元/平米,南北,高层,精装修,高新
30,天富御苑,37.4万,2室2厅1卫,87.9平米,4255元/平米,南北,中层,毛坯,二道
31,和平花园,68万,2室2厅1卫,87平米,7816元/平米,南北,高层,简装修,绿园
32,恒大御景,108万,3室1厅1卫,100平米,10800元/平米,南,高层,精装修,南关
33,一汽49街区,52.5万,2室1厅1卫,60平米,8750元/平米,南,中层,精装修,汽开
34,天茂湖三期温莎园,245万,3室2厅2卫,210平米,11667元/平米,南北,高层,精装修,高新
35,上东街区美一方,69万,2室1厅1卫,66平米,10455元/平米,南北,中层,精装修,二道
36,东方之珠,75万,2室2厅1卫,86平米,8721元/平米,南北,中层,精装修,二道
37,新星宇之洲,128万,2室2厅1卫,105.07平米,12182元/平米,东,中层,暂无,南关
38,阳光嘉年华,75万,2室1厅1卫,79.62平米,9420元/平米,南北,高层,精装修,绿园
39,益田枫露,67万,1室1厅1卫,51平米,13137元/平米,南,高层,豪华装修,高新
40,恒盛豪庭,81万,2室2厅1卫,90.4平米,8960元/平米,南北,高层,精装修,高新
41,西昌小区,56.8万,2室1厅1卫,65平米,8738元/平米,南,低层,豪华装修,朝阳
42,华大天朗国际社区,43万,2室1厅1卫,55平米,7818元/平米,南北,中层,精装修,宽城
43,中海金域中央,75万,1室1厅1卫,66.7平米,11244元/平米,南,高层,精装修,南关
44,新星宇左岸,99万,3室2厅1卫,100平米,9900元/平米,南北,中层,精装修,高新
45,金色橄榄城二期,105万,2室2厅1卫,67.79平米,15489元/平米,南北,高层,精装修,二道
46,万龙城,85万,2室2厅1卫,86.4平米,9838元/平米,南北,高层,精装修,南关
47,天富家园,160万,3室2厅2卫,150平米,10667元/平米,南北,中层,精装修,二道
48,中海净月华庭,116万,3室2厅1卫,95平米,12211元/平米,南北,中层,豪华装修,净月
49,圣世金鼎城,143万,3室2厅1卫,106平米,13491元/平米,南北,低层,精装修,南关
50,保利罗兰香谷,360万,3室2厅2卫,256平米,14062元/平米,南北,低层,精装修,高新
51,恒大名都,130万,3室2厅2卫,131.03平米,9921元/平米,南北,中层,精装修,高新
52,恒大名都,98万,2室2厅1卫,100平米,9800元/平米,南北,低层,精装修,高新
53,五环高尔夫家园,85万,2室2厅1卫,123.91平米,6860元/平米,南北,高层,精装修,绿园
54,保利香槟,450万,5室4厅3卫,206.8平米,21760元/平米,南北,中层,豪华装修,净月
55,绿地新里中央公馆,182万,3室2厅2卫,163平米,11166元/平米,东,中层,暂无,南关
56,中海水岸春城,150万,4室2厅2卫,180平米,8333元/平米,南北,中层,精装修,净月
57,中信城云邸,225万,4室2厅2卫,170平米,13235元/平米,南北,中层,豪华装修,净月
58,国税繁荣小区,146万,6室2厅3卫,210平米,6952元/平米,南北,高层,精装修,南关
59,锦江花园二区,136万,3室2厅1卫,150平米,9067元/平米,南北,高层,精装修,绿园
0,富得林曼哈顿中心,38.5万,1室1厅1卫,50平米,7700元/平米,南北,中层,精装修,净月
1,恒大名都,158万,4室2厅2卫,170.55平米,9264元/平米,南北,高层,精装修,高新
2,南湖新村,140万,1室1厅1卫,43平米,32558元/平米,南北,高层,简装修,朝阳
3,万通花园,56万,2室2厅1卫,70平米,8000元/平米,西,中层,精装修,二道
4,月潭壹英里,80万,3室2厅1卫,109.52平米,7305元/平米,南北,中层,豪华装修,净月
5,经开四区,138万,3室2厅2卫,167.7平米,8229元/平米,南北,高层,简装修,经开
6,华源公园1号,100万,3室2厅2卫,120平米,8333元/平米,南北,中层,毛坯,宽城
7,绿色家园,105万,3室2厅2卫,138平米,7609元/平米,南北,低层,豪华装修,净月
8,富奥花园C区,120万,2室2厅1卫,126平米,9524元/平米,南北,高层,精装修,净月
9,福临家园,98.8万,2室2厅1卫,131.67平米,7504元/平米,南北,中层,精装修,经开
10,税务小区,45万,2室1厅1卫,68平米,6618元/平米,南北,中层,精装修,南关
11,中海莱茵东郡,230万,4室2厅2卫,199平米,11558元/平米,南北,低层,精装修,净月
12,天嘉水晶城,34.8万,1室1厅1卫,52.2平米,6667元/平米,南,高层,精装修,绿园
13,电力小区,161万,4室2厅2卫,170平米,9471元/平米,南北,中层,精装修,南关
14,领秀朝阳上院,80万,2室1厅1卫,80平米,10000元/平米,南北,中层,简装修,朝阳
15,国信嘉邑,112万,2室2厅1卫,91.12平米,12291元/平米,南北,高层,精装修,南关
16,万龙台北明珠,54万,2室2厅1卫,83平米,6506元/平米,南北,中层,精装修,宽城
17,中金名筑,35万,1室1厅1卫,39.77平米,8801元/平米,东,高层,简装修,南关
18,吉大菲尔瑞特,80万,2室2厅1卫,71平米,11268元/平米,南,低层,简装修,高新
19,信达东湾半岛第三区四区,48万,2室1厅1卫,56平米,8571元/平米,东南,高层,精装修,南关
20,保利百合香湾,112万,2室1厅1卫,96.98平米,11549元/平米,南北,低层,精装修,二道
21,华大城,56万,2室1厅1卫,71平米,7887元/平米,北,高层,毛坯,宽城
22,金色华尔兹,106万,3室2厅1卫,120平米,8833元/平米,南北,中层,简装修,绿园
23,澳海梦想城,52万,2室2厅1卫,60.13平米,8648元/平米,南北,中层,精装修,经开
24,吉森漫桦林,115万,2室2厅1卫,87.34平米,13167元/平米,南北,中层,毛坯,南关
25,隆礼小区,59万,2室1厅1卫,65平米,9077元/平米,南北,中层,简装修,朝阳
26,中信城枫丹白露二期,126万,2室2厅1卫,99平米,12727元/平米,南北,中层,精装修,净月
27,恒大城,89万,2室2厅1卫,110平米,8091元/平米,暂无,低层,简装修,宽城
28,道台府小区,46.8万,2室1厅1卫,60平米,7800元/平米,南,中层,精装修,宽城
29,北方尚品,90万,2室1厅1卫,81.75平米,11009元/平米,南北,中层,精装修,绿园
30,中海净月华庭,100万,3室2厅1卫,95.66平米,10454元/平米,南北,高层,精装修,净月
31,君悦豪庭,44.8万,1室1厅1卫,59平米,7593元/平米,南北,高层,毛坯,高新
32,宇都和源,98万,2室1厅1卫,103平米,9515元/平米,南北,高层,精装修,高新
33,中天北湾新城,130万,3室2厅1卫,110.69平米,11745元/平米,南北,中层,精装修,高新
34,东皇君园,72万,2室1厅1卫,76.63平米,9396元/平米,南北,中层,精装修,汽开
35,大唐东方盛世,117万,3室2厅2卫,120平米,9750元/平米,南北,低层,毛坯,经开
36,亚泰桃花苑,42.8万,2室1厅1卫,69.23平米,6182元/平米,南北,中层,精装修,二道
37,华大城,73万,2室2厅1卫,85平米,8588元/平米,南北,中层,毛坯,宽城
38,中海国际社区,305万,5室3厅3卫,149.4平米,20415元/平米,南北,低层,精装修,净月
39,领秀蓝珀湖,77万,2室1厅1卫,75.9平米,10145元/平米,南,高层,精装修,高新
40,新星宇和悦,72万,1室1厅1卫,58平米,12414元/平米,东,低层,暂无,高新
41,万嘉花园,96.8万,2室2厅1卫,104平米,9308元/平米,南北,高层,精装修,绿园
42,中海紫御华府,360万,5室3厅3卫,178平米,20225元/平米,南北,中层,豪华装修,经开
43,恒大御景,142.9万,3室2厅1卫,114.5平米,12480元/平米,南,高层,精装修,南关
44,净水山庄,65万,2室2厅1卫,93平米,6989元/平米,南北,高层,精装修,南关
45,金达莱家园,79万,3室2厅1卫,98平米,8061元/平米,南北,高层,精装修,绿园
46,新星宇左岸,90万,2室2厅1卫,88平米,10227元/平米,南北,中层,精装修,高新
47,金域蓝湾,80万,2室2厅1卫,90平米,8889元/平米,南北,中层,豪华装修,汽开
48,万龙世纪城,110万,2室2厅1卫,88平米,12500元/平米,南北,中层,精装修,经开
49,御景名都,84.5万,2室2厅1卫,83平米,10181元/平米,南北,低层,精装修,二道
50,富奥花园B区,138万,3室2厅2卫,146平米,9452元/平米,南北,中层,精装修,净月
51,米澜国际,70万,2室2厅1卫,88.43平米,7916元/平米,南北,中层,精装修,宽城
52,华泰世纪新城一期,44.8万,2室2厅1卫,80平米,5600元/平米,南北,高层,豪华装修,宽城
53,中海寰宇天下,74万,2室2厅1卫,95.31平米,7764元/平米,南北,低层,精装修,经开
54,中天北湾新城,88万,3室2厅1卫,110平米,8000元/平米,南北,高层,精装修,高新
55,华大天朗国际社区,50万,暂无,58.5平米,8547元/平米,南北,中层,简装修,宽城
56,恒大名都,98万,2室2厅1卫,100平米,9800元/平米,南北,低层,精装修,高新
57,卓扬北湖湾,75万,2室2厅1卫,89平米,8427元/平米,南北,低层,毛坯,高新
58,亚泰桃花苑,56.8万,2室1厅1卫,73平米,7781元/平米,南,低层,简装修,二道
59,益田御水丹堤,141万,3室2厅2卫,120.9平米,11663元/平米,南北,中层,毛坯,高新
0,万通花园A区,100万,2室1厅1卫,141.1平米,7087元/平米,南北,中层,精装修,二道
1,长客花园小区,38.5万,2室1厅1卫,48平米,8021元/平米,南北,中层,精装修,绿园
2,风华新苑,55万,2室1厅1卫,70平米,7857元/平米,南北,中层,简装修,绿园
3,保利林语,122.5万,2室2厅1卫,87平米,14080元/平米,南北,中层,精装修,南关
4,景阳小区,86万,2室2厅1卫,100平米,8600元/平米,南北,低层,精装修,绿园
5,恒大御景,135万,2室2厅1卫,99.83平米,13523元/平米,南,中层,精装修,南关
6,万龙银河城,45万,1室1厅1卫,65平米,6923元/平米,南北,高层,毛坯,宽城
7,万科东湾半岛,139万,3室2厅1卫,109平米,12752元/平米,南北,低层,精装修,南关
8,吴中家天下,107万,2室2厅1卫,90平米,11889元/平米,南北,高层,精装修,二道
9,吉达花园,70万,2室2厅2卫,86平米,8140元/平米,东西,中层,精装修,绿园
10,钻石城,110万,3室2厅1卫,138平米,7971元/平米,南北,中层,精装修,二道
11,中信城浅山,98万,2室2厅1卫,80平米,12250元/平米,南,高层,精装修,净月
12,新星宇左岸,60万,2室1厅1卫,68平米,8824元/平米,南北,高层,精装修,高新
13,恒大都市广场,142万,3室2厅2卫,132平米,10758元/平米,南北,低层,豪华装修,二道
14,中海净月华庭,105万,2室2厅1卫,88平米,11932元/平米,东,高层,暂无,净月
15,锦绣东方,85万,2室2厅1卫,92.6平米,9179元/平米,南北,高层,精装修,经开
16,吉盛小区,54万,1室1厅1卫,68平米,7941元/平米,南北,高层,精装修,二道
17,华大城,67万,3室2厅2卫,102平米,6569元/平米,南北,低层,精装修,宽城
18,嘉柏湾,32万,1室1厅1卫,38.4平米,8333元/平米,东,高层,精装修,经开
19,金色橄榄城,68万,2室1厅1卫,68平米,10000元/平米,南,中层,精装修,二道
20,天富御苑,57.8万,2室2厅1卫,89.58平米,6452元/平米,南北,中层,精装修,二道
21,恒盛豪庭,33万,1室1厅1卫,45平米,7333元/平米,南,中层,精装修,高新
22,中铁城,78万,2室2厅1卫,82.5平米,9455元/平米,南北,中层,精装修,汽开
23,中航御湖天城,75万,2室2厅1卫,89平米,8427元/平米,南北,高层,精装修,高新
24,亚泰杏花苑,51万,2室1厅1卫,58平米,8793元/平米,西,高层,精装修,二道
25,车城名仕花园,50万,2室2厅1卫,53平米,9434元/平米,南北,中层,精装修,朝阳
26,中海蘭庭,105万,2室2厅1卫,88.09平米,11920元/平米,南北,高层,中装修,高新
27,中冶蓝城,105万,2室1厅1卫,97平米,10825元/平米,暂无,中层,简装修,宽城
28,郡望安石,210万,6室2厅1卫,337平米,6231元/平米,北,高层,简装修,宽城
29,潭泽东南明珠,120万,3室2厅2卫,125平米,9600元/平米,南北,低层,精装修,净月
30,新竹花园,106万,3室2厅1卫,150平米,7067元/平米,东西,高层,豪华装修,绿园
31,东方之珠,95万,2室2厅1卫,95平米,10000元/平米,南北,中层,精装修,二道
32,新星宇左岸,62万,2室1厅1卫,68平米,9118元/平米,南北,高层,精装修,高新
33,怡众名城,173万,3室2厅2卫,153平米,11307元/平米,南北,高层,精装修,高新
34,远创樾府,85万,2室2厅1卫,82.72平米,10276元/平米,南北,低层,精装修,汽开
35,中天北湾新城,81.8万,2室1厅1卫,86平米,9512元/平米,南北,高层,精装修,高新
36,金色世界湾,168万,3室2厅2卫,144平米,11667元/平米,南北,低层,简装修,南关
37,金越逸墅蓝湾,110万,2室2厅1卫,100平米,11000元/平米,南北,中层,精装修,高新
38,米澜国际,53万,2室2厅1卫,86平米,6163元/平米,南北,中层,精装修,宽城
39,月潭壹英里,100万,3室2厅2卫,98平米,10204元/平米,东,中层,暂无,净月
40,鑫海华府,24万,2室1厅1卫,56平米,4286元/平米,南北,中层,毛坯,宽城
41,市政府宿舍小区,118万,3室2厅1卫,130平米,9077元/平米,南北,低层,精装修,南关
42,全安小区,63万,2室2厅1卫,67.67平米,9310元/平米,南北,低层,精装修,南关
43,水韵豪庭,82万,3室2厅1卫,120平米,6833元/平米,南北,中层,精装修,南关
44,瀚邦凤凰传奇,69.9万,1室1厅1卫,48平米,14562元/平米,南,高层,精装修,净月
45,亚泰梧桐公馆,84万,2室1厅1卫,74.2平米,11321元/平米,东南,中层,精装修,二道
46,新星宇左岸,60万,1室1厅1卫,57.9平米,10363元/平米,南,中层,精装修,高新
47,热电四区,74.5万,2室2厅1卫,82平米,9085元/平米,南北,低层,精装修,二道
48,万通花园B区,58万,2室1厅1卫,66平米,8788元/平米,暂无,低层,简装修,二道
49,金穗花园,87万,2室2厅1卫,100.08平米,8693元/平米,南北,中层,精装修,净月
50,南湖新村,180万,2室1厅1卫,70.86平米,25402元/平米,南,中层,精装修,朝阳
51,益田御水丹堤,135万,3室2厅2卫,117平米,11538元/平米,南北,低层,毛坯,高新
52,益田瓦萨小镇别墅,480万,4室3厅3卫,307平米,15635元/平米,南,低层,豪华装修,净月
53,新竹花园,92.8万,5室3厅2卫,157平米,5911元/平米,南北,高层,精装修,绿园
54,领秀蓝珀湖,78万,2室2厅1卫,75.76平米,10296元/平米,南,高层,精装修,高新
55,长客厂南A区,57万,2室1厅1卫,67平米,8507元/平米,南北,中层,精装修,绿园
56,金祥奥邻郡,55万,2室1厅1卫,64平米,8594元/平米,东,低层,暂无,汽开
57,中海寰宇天下,95.3万,2室2厅1卫,86.64平米,11000元/平米,南北,高层,豪华装修,经开
58,吉星花园,81万,2室2厅1卫,85平米,9529元/平米,南北,高层,精装修,二道
59,保利罗兰香谷,189万,3室2厅2卫,132平米,14318元/平米,南北,高层,中装修,高新
0,朝阳小区,46万,2室1厅1卫,62平米,7419元/平米,南北,中层,中装修,绿园
1,天嘉水晶城,33万,1室1厅1卫,49平米,6735元/平米,南,中层,精装修,绿园
2,亚泰樱花苑,40万,2室1厅1卫,55平米,7273元/平米,南北,高层,简装修,二道
3,晟鑫康诗丹郡,120万,3室2厅2卫,125平米,9600元/平米,东,中层,暂无,净月
4,华大城,40万,2室1厅1卫,55.3平米,7233元/平米,南北,低层,精装修,宽城
5,和平花园,65万,2室2厅1卫,101平米,6436元/平米,南北,高层,精装修,绿园
6,益田瓦萨小镇,360万,4室2厅3卫,273平米,13187元/平米,南北,低层,毛坯,净月
7,融创上城别墅,360万,4室3厅3卫,300平米,12000元/平米,暂无,低层,简装修,高新
8,水韵豪庭,275万,3室2厅2卫,129平米,21318元/平米,南北,低层,精装修,南关
9,德辉首府,85万,3室2厅1卫,99平米,8586元/平米,南北,低层,简装修,二道
10,吉盛小区,59.8万,2室1厅1卫,66平米,9061元/平米,西北,高层,中装修,二道
11,西康小区,94万,2室2厅1卫,115平米,8174元/平米,南北,中层,中装修,朝阳
12,怡众名城,160万,3室2厅1卫,133平米,12030元/平米,南北,低层,精装修,高新
13,伟业星城,130万,3室2厅1卫,106平米,12264元/平米,南北,低层,精装修,朝阳
14,像素公园,116万,3室2厅1卫,98平米,11837元/平米,南北,高层,精装修,经开
15,解民小区二期,72万,2室1厅1卫,82.32平米,8746元/平米,南北,低层,精装修,南关
16,中海水岸春城,130万,2室2厅1卫,98.89平米,13146元/平米,南北,中层,精装修,净月
17,富得林曼哈顿中心,56万,1室1厅1卫,66平米,8485元/平米,南北,高层,豪华装修,净月
18,保利林语,340万,4室3厅3卫,217平米,15668元/平米,东,中层,暂无,南关
19,万科城,125万,2室2厅1卫,89.96平米,13895元/平米,南,高层,精装修,净月
20,华方状元府,18万,2室1厅1卫,60平米,3000元/平米,南北,中层,精装修,宽城
21,通安新居,80万,2室1厅1卫,96.3平米,8307元/平米,南北,中层,豪华装修,二道
22,赛德馨苑,200万,3室2厅2卫,196平米,10204元/平米,南北,低层,精装修,经开
23,临河风景,122万,3室2厅2卫,146.12平米,8349元/平米,南北,中层,精装修,经开
24,东方之珠,70万,2室2厅1卫,81平米,8642元/平米,南北,高层,豪华装修,二道
25,银湖柳苑,98万,2室2厅1卫,93.4平米,10493元/平米,南北,高层,精装修,净月
26,锦江花园二区,37万,1室1厅1卫,50平米,7400元/平米,南北,中层,精装修,绿园
27,荣发荣城壹品,23万,1室1厅1卫,59.9平米,3840元/平米,南,高层,精装修,宽城
28,金安华城,85万,2室1厅1卫,80平米,10625元/平米,南北,中层,简装修,绿园
29,平阳小区,62.8万,2室1厅1卫,73.98平米,8489元/平米,南北,中层,精装修,南关
30,金色华尔兹,106万,2室2厅1卫,130平米,8154元/平米,南北,低层,精装修,绿园
31,英伦小镇,67万,2室1厅1卫,89平米,7528元/平米,南北,高层,毛坯,宽城
32,富贵居,140万,3室2厅2卫,170平米,8235元/平米,南北,中层,精装修,南关
33,鲁辉国际城,34万,1室1厅1卫,46平米,7391元/平米,南,高层,精装修,二道
34,保利蔷薇,118万,3室2厅1卫,101平米,11683元/平米,南北,中层,精装修,净月
35,英伦小镇,73万,2室1厅1卫,95平米,7684元/平米,南北,中层,毛坯,宽城
36,保利香槟,150万,3室2厅2卫,135平米,11111元/平米,南北,高层,简装修,净月
37,米澜国际,70万,2室2厅1卫,82平米,8537元/平米,南北,高层,精装修,宽城
38,水景阁,74万,2室1厅1卫,77平米,9610元/平米,南北,中层,精装修,二道
39,鲁辉国际城,60万,2室2厅1卫,77.42平米,7750元/平米,南北,高层,精装修,二道
40,诺睿德国际商务广场,105万,3室2厅1卫,92.7平米,11327元/平米,南北,中层,精装修,净月
41,车城名仕花园,52万,2室1厅1卫,56平米,9286元/平米,南北,中层,精装修,朝阳
42,中天北湾新城,81.8万,2室1厅1卫,86平米,9512元/平米,南北,高层,精装修,高新
43,新星宇左岸,93万,2室2厅1卫,89平米,10449元/平米,南北,低层,精装修,高新
44,亚泰梧桐公馆,95万,2室2厅2卫,120平米,7917元/平米,南,高层,精装修,二道
45,吉盛小区,59万,2室1厅1卫,75平米,7867元/平米,南北,高层,豪华装修,二道
46,中海国际社区,178万,3室2厅2卫,136.4平米,13050元/平米,南北,低层,豪华装修,净月
47,领秀蓝珀湖,55万,2室2厅1卫,86平米,6395元/平米,南北,高层,精装修,高新
48,中天北湾新城,79万,2室2厅1卫,80平米,9875元/平米,南北,低层,精装修,高新
49,五环高尔夫家园,65.8万,2室1厅1卫,73平米,9014元/平米,南北,中层,精装修,绿园
50,乐嘉茗园,56.5万,2室1厅1卫,60.17平米,9390元/平米,南北,中层,精装修,宽城
51,保利中央公园,120万,2室1厅1卫,88平米,13636元/平米,南北,高层,精装修,汽开
